Todas las listas possibles
┌──────────────────────────────────────┬────────────┬─────────────────┐
│ Lista                                │ Peso Total │ Beneficio Total │
├──────────────────────────────────────┼────────────┼─────────────────┤
│ []                                   │ 0          │ 0               │
│ [:I]                                 │ 25         │ 15              │
│ [:H]                                 │ 20         │ 50              │
│ [:H, :I]                             │ 45         │ 65              │
│ [:G]                                 │ 7          │ 10              │
│ [:G, :I]                             │ 32         │ 25              │
│ [:G, :H]                             │ 27         │ 60              │
│ [:G, :H, :I]                         │ 52         │ 75              │
│ [:F]                                 │ 15         │ 100             │
│ [:F, :I]                             │ 40         │ 115             │
│ [:F, :H]                             │ 35         │ 150             │
│ [:F, :H, :I]                         │ 60         │ 165             │
│ [:F, :G]                             │ 22         │ 110             │
│ [:F, :G, :I]                         │ 47         │ 125             │
│ [:F, :G, :H]                         │ 42         │ 160             │
│ [:F, :G, :H, :I]                     │ 67         │ 175             │
│ [:E]                                 │ 7          │ 40              │
│ [:E, :I]                             │ 32         │ 55              │
│ [:E, :H]                             │ 27         │ 90              │
│ [:E, :H, :I]                         │ 52         │ 105             │
│ [:E, :G]                             │ 14         │ 50              │
│ [:E, :G, :I]                         │ 39         │ 65              │
│ [:E, :G, :H]                         │ 34         │ 100             │
│ [:E, :G, :H, :I]                     │ 59         │ 115             │
│ [:E, :F]                             │ 22         │ 140             │
│ [:E, :F, :I]                         │ 47         │ 155             │
│ [:E, :F, :H]                         │ 42         │ 190             │
│ [:E, :F, :H, :I]                     │ 67         │ 205             │
│ [:E, :F, :G]                         │ 29         │ 150             │
│ [:E, :F, :G, :I]                     │ 54         │ 165             │
│ [:E, :F, :G, :H]                     │ 49         │ 200             │
│ [:E, :F, :G, :H, :I]                 │ 74         │ 215             │
│ [:D]                                 │ 4          │ 100             │
│ [:D, :I]                             │ 29         │ 115             │
│ [:D, :H]                             │ 24         │ 150             │
│ [:D, :H, :I]                         │ 49         │ 165             │
│ [:D, :G]                             │ 11         │ 110             │
│ [:D, :G, :I]                         │ 36         │ 125             │
│ [:D, :G, :H]                         │ 31         │ 160             │
│ [:D, :G, :H, :I]                     │ 56         │ 175             │
│ [:D, :F]                             │ 19         │ 200             │
│ [:D, :F, :I]                         │ 44         │ 215             │
│ [:D, :F, :H]                         │ 39         │ 250             │
│ [:D, :F, :H, :I]                     │ 64         │ 265             │
│ [:D, :F, :G]                         │ 26         │ 210             │
│ [:D, :F, :G, :I]                     │ 51         │ 225             │
│ [:D, :F, :G, :H]                     │ 46         │ 260             │
│ [:D, :F, :G, :H, :I]                 │ 71         │ 275             │
│ [:D, :E]                             │ 11         │ 140             │
│ [:D, :E, :I]                         │ 36         │ 155             │
│ [:D, :E, :H]                         │ 31         │ 190             │
│ [:D, :E, :H, :I]                     │ 56         │ 205             │
│ [:D, :E, :G]                         │ 18         │ 150             │
│ [:D, :E, :G, :I]                     │ 43         │ 165             │
│ [:D, :E, :G, :H]                     │ 38         │ 200             │
│ [:D, :E, :G, :H, :I]                 │ 63         │ 215             │
│ [:D, :E, :F]                         │ 26         │ 240             │
│ [:D, :E, :F, :I]                     │ 51         │ 255             │
│ [:D, :E, :F, :H]                     │ 46         │ 290             │
│ [:D, :E, :F, :H, :I]                 │ 71         │ 305             │
│ [:D, :E, :F, :G]                     │ 33         │ 250             │
│ [:D, :E, :F, :G, :I]                 │ 58         │ 265             │
│ [:D, :E, :F, :G, :H]                 │ 53         │ 300             │
│ [:D, :E, :F, :G, :H, :I]             │ 78         │ 315             │
│ [:C]                                 │ 8          │ 70              │
│ [:C, :I]                             │ 33         │ 85              │
│ [:C, :H]                             │ 28         │ 120             │
│ [:C, :H, :I]                         │ 53         │ 135             │
│ [:C, :G]                             │ 15         │ 80              │
│ [:C, :G, :I]                         │ 40         │ 95              │
│ [:C, :G, :H]                         │ 35         │ 130             │
│ [:C, :G, :H, :I]                     │ 60         │ 145             │
│ [:C, :F]                             │ 23         │ 170             │
│ [:C, :F, :I]                         │ 48         │ 185             │
│ [:C, :F, :H]                         │ 43         │ 220             │
│ [:C, :F, :H, :I]                     │ 68         │ 235             │
│ [:C, :F, :G]                         │ 30         │ 180             │
│ [:C, :F, :G, :I]                     │ 55         │ 195             │
│ [:C, :F, :G, :H]                     │ 50         │ 230             │
│ [:C, :F, :G, :H, :I]                 │ 75         │ 245             │
│ [:C, :E]                             │ 15         │ 110             │
│ [:C, :E, :I]                         │ 40         │ 125             │
│ [:C, :E, :H]                         │ 35         │ 160             │
│ [:C, :E, :H, :I]                     │ 60         │ 175             │
│ [:C, :E, :G]                         │ 22         │ 120             │
│ [:C, :E, :G, :I]                     │ 47         │ 135             │
